Subject,RF_Accuracy,CNN_Raw_Accuracy,CNN_Normalized_Accuracy
1,0.9914,1.0,0.9827
2,0.7583,0.9073,1.0
3,0.9707,1.0,0.9971
4,0.8265,0.9558,0.9401
5,0.8444,0.8444,0.8841
6,0.9508,0.9662,0.9969
7,0.8636,0.9578,0.9805
8,0.9217,0.9502,0.9466
9,0.7222,0.8507,0.8194
10,0.6837,0.7075,0.8095
11,0.9937,1.0,0.9842
12,0.9313,0.9906,1.0
13,0.9786,0.9755,1.0
14,0.7152,0.6935,0.9319
15,0.9482,1.0,1.0
16,0.7623,0.7732,0.806
17,0.8424,0.9538,0.9647
18,0.9533,0.9945,1.0
19,0.9667,0.9972,1.0
20,0.9718,1.0,0.9831
21,0.8848,0.9828,0.9951
22,0.9751,1.0,1.0
23,0.922,0.9462,0.9435
24,0.9764,1.0,1.0
25,0.8509,0.846,1.0
26,0.9949,0.9974,0.9439
27,0.992,1.0,1.0
28,0.9005,0.8455,0.8953
29,0.9012,0.9157,1.0
30,0.9713,0.9373,0.9243
