Random Forest Baseline — LOSO Results
==================================================
Model: RandomForestClassifier(n_estimators=100)
Features: Flattened raw signals (1152)

 Subject   Samples    Accuracy
------------------------------
       1       347      0.9914
       2       302      0.7583
       3       341      0.9707
       4       317      0.8265
       5       302      0.8444
       6       325      0.9508
       7       308      0.8636
       8       281      0.9217
       9       288      0.7222
      10       294      0.6837
      11       316      0.9937
      12       320      0.9313
      13       327      0.9786
      14       323      0.7152
      15       328      0.9482
      16       366      0.7623
      17       368      0.8424
      18       364      0.9533
      19       360      0.9667
      20       354      0.9718
      21       408      0.8848
      22       321      0.9751
      23       372      0.9220
      24       381      0.9764
      25       409      0.8509
      26       392      0.9949
      27       376      0.9920
      28       382      0.9005
      29       344      0.9012
      30       383      0.9713
------------------------------

Mean accuracy:    0.8988 ± 0.0911
Overall accuracy: 0.9022
